idade_cliente,regiao_cliente,tempo_cliente_meses,valor_pedido,quantidade_itens,valor_desconto,parcelas_pagamento,tempo_entrega_dias,atraso_entrega_dias,valor_frete,tentativas_entrega,contatos_atendimento,tempo_resolucao_dias,nps,numero_reclamacoes
52,Sudeste,14,477.19,4,15.71,3,4,0,53.94,3,1,2,5.6,4
51,Norte,42,144.56,1,15.57,11,14,2,46.54,3,1,3,2.6,3
30,Sul,114,349.17,3,12.78,11,12,1,28.64,2,1,7,4.5,4
58,Sudeste,33,461.42,3,27.91,3,4,6,45.25,2,1,0,2.3,5
21,Norte,26,431.62,5,15.21,1,9,3,45.21,2,3,5,3.4,6
60,Centro-Oeste,67,663.31,6,37.22,10,6,4,45.09,1,2,9,0.7,6
23,Nordeste,20,370.76,6,15.12,2,10,1,28.55,3,1,8,6.6,2
18,Nordeste,19,375.57,5,13.63,11,8,4,56.09,1,1,4,0.6,5
29,Sudeste,39,711.22,6,4.92,2,2,1,28.2,1,3,2,4.5,6
52,Sul,49,1220.13,4,8.98,8,2,1,47.14,1,1,2,4.8,3
28,Sul,69,329.96,1,37.51,8,4,1,41.91,3,2,4,3.9,5
40,Norte,95,398.94,2,5.22,7,2,2,67.63,3,0,1,5.8,3
31,Nordeste,20,409.54,6,0.82,4,8,3,45.69,3,1,6,4.0,5
36,Centro-Oeste,109,285.91,4,82.01,3,5,1,34.0,1,7,9,0.4,11
54,Sul,101,86.15,2,112.42,11,10,3,36.23,3,1,0,8.4,2
33,Sul,108,385.42,5,13.86,2,2,3,52.49,2,3,2,3.1,5
61,Nordeste,21,1014.41,4,16.82,11,11,5,31.57,2,1,1,4.4,3
45,Centro-Oeste,116,182.12,6,0.19,5,8,2,45.9,2,3,0,2.1,5
62,Norte,81,42.28,1,39.12,9,3,4,47.8,3,1,11,0.0,5
48,Norte,9,785.3,6,3.17,10,12,1,39.0,2,1,8,3.8,6
24,Norte,83,332.99,1,8.77,8,12,1,47.3,2,1,10,7.9,2
63,Norte,64,522.84,2,76.14,3,3,3,19.72,1,3,7,3.2,6
69,Nordeste,53,198.64,2,24.32,5,3,3,57.25,2,3,5,3.9,8
44,Norte,100,335.96,4,12.24,1,7,2,37.07,3,2,9,5.4,5
34,Nordeste,109,745.08,5,73.34,9,5,4,29.76,3,4,3,2.7,7
24,Sul,45,1402.67,1,43.56,9,8,4,51.51,2,5,3,0.0,9
32,Nordeste,82,639.53,4,66.26,3,3,2,35.79,3,3,11,0.0,8
57,Sudeste,95,383.08,1,1.36,5,2,1,31.84,1,0,5,7.0,2
29,Sudeste,80,212.03,1,66.52,6,2,6,42.64,1,1,3,0.0,4
25,Sul,81,816.27,1,73.96,1,8,1,58.35,1,1,4,2.4,4
19,Centro-Oeste,25,66.18,4,4.5,4,7,2,46.54,2,1,10,2.7,3
61,Sudeste,24,463.79,3,2.08,5,10,1,35.79,3,2,8,6.8,6
55,Nordeste,113,261.42,4,28.92,3,9,1,16.29,3,1,10,9.6,3
43,Sul,80,815.51,3,33.42,6,8,3,38.22,1,1,2,2.1,3
68,Centro-Oeste,42,223.52,4,3.91,6,8,2,37.53,1,2,8,2.6,5
38,Sudeste,26,323.22,6,48.95,9,13,0,22.17,2,1,6,7.6,1
67,Centro-Oeste,33,302.89,2,22.97,5,10,0,58.88,3,1,2,7.5,1
30,Norte,38,477.33,3,31.61,8,3,2,40.72,2,0,4,4.8,2
36,Norte,53,617.4,1,24.0,11,12,0,47.57,3,2,2,7.0,3
35,Norte,24,519.41,6,6.98,9,5,2,9.73,3,0,4,5.1,5
19,Sudeste,67,430.96,2,6.8,2,10,3,16.33,1,1,4,3.6,3
69,Centro-Oeste,88,90.76,6,4.81,6,6,2,47.02,2,1,11,4.8,3
62,Sudeste,30,98.29,4,31.32,3,9,2,39.85,3,1,7,6.0,3
59,Centro-Oeste,72,340.91,5,32.07,9,10,3,33.67,2,2,7,2.9,5
66,Nordeste,82,535.69,3,33.85,5,12,3,41.93,1,1,5,1.9,4
45,Nordeste,5,470.48,2,3.25,4,12,1,46.78,3,0,10,4.5,2
67,Sudeste,51,739.57,4,30.17,11,2,2,10.35,2,2,1,4.9,5
40,Centro-Oeste,53,147.47,4,92.68,2,14,1,32.52,3,2,10,5.0,4
21,Nordeste,47,143.82,3,42.0,9,8,3,51.74,1,2,3,4.5,5
21,Centro-Oeste,74,453.7,3,15.62,3,5,3,40.45,3,3,11,2.7,6
29,Nordeste,70,530.15,5,125.03,10,8,2,31.19,2,0,10,4.6,2
39,Centro-Oeste,112,531.95,1,51.91,7,13,3,51.81,2,1,8,4.1,3
43,Sudeste,73,352.17,6,22.73,6,10,3,25.93,1,3,8,1.1,5
57,Sudeste,6,473.08,3,5.55,9,11,1,51.0,3,1,4,6.4,4
59,Sul,94,411.69,4,67.98,4,4,4,27.55,2,2,8,1.6,5
52,Nordeste,45,197.76,1,7.91,7,14,2,44.67,3,1,5,6.3,3
21,Norte,36,267.36,3,7.79,4,3,1,32.04,2,1,0,10.0,4
29,Sul,15,182.19,2,18.18,3,11,1,45.48,1,1,9,1.7,3
21,Norte,74,125.96,5,7.14,1,12,1,38.05,2,1,9,3.1,4
69,Nordeste,81,70.41,6,18.87,5,4,2,49.5,2,0,10,9.4,2
48,Sudeste,45,289.31,5,2.66,3,14,1,41.1,3,0,9,5.1,4
24,Norte,7,1034.61,4,74.44,8,7,1,40.22,3,1,2,5.8,5
27,Sudeste,20,567.28,4,13.3,2,9,4,42.81,2,1,0,4.0,3
41,Sul,85,350.94,6,0.36,9,9,1,46.38,1,3,10,3.7,5
32,Sul,73,676.14,1,68.44,4,11,2,43.14,1,1,8,6.5,2
56,Sudeste,74,677.47,3,46.8,11,10,1,43.38,2,1,2,4.1,3
37,Centro-Oeste,67,1182.28,4,31.07,3,10,2,41.96,2,2,4,4.1,6
24,Nordeste,28,1328.4,1,6.51,5,7,0,38.42,2,0,6,9.0,2
30,Centro-Oeste,45,292.7,3,13.71,3,5,4,34.3,1,2,10,0.3,4
45,Sul,74,239.69,6,59.64,9,12,3,33.4,3,1,2,2.7,3
56,Nordeste,36,645.84,1,73.53,6,3,4,45.49,2,4,10,0.3,7
35,Centro-Oeste,71,96.54,3,28.25,2,2,2,56.28,1,2,3,2.4,5
64,Norte,28,359.49,2,11.01,11,9,0,26.18,2,2,9,3.5,3
28,Centro-Oeste,38,60.96,2,95.06,4,9,0,30.19,2,0,7,7.8,1
53,Sudeste,5,242.57,5,21.93,8,3,0,22.11,2,3,9,1.1,5
53,Norte,103,139.18,1,21.63,5,6,4,19.4,2,2,3,0.8,5
19,Sudeste,85,428.1,4,77.12,5,6,3,47.3,3,2,9,3.1,6
65,Norte,60,212.08,1,18.06,1,14,2,30.82,3,1,7,2.2,3
63,Sul,111,686.74,5,0.49,3,3,1,42.24,3,0,3,8.8,2
34,Nordeste,69,195.24,5,28.31,1,5,4,30.12,3,0,2,1.8,3
23,Norte,102,693.16,3,26.12,5,10,1,45.57,3,1,0,9.2,3
58,Sul,53,549.41,2,35.84,11,10,2,33.16,2,0,8,7.7,1
63,Sul,107,126.41,4,0.23,2,11,2,15.17,3,3,1,2.2,5
40,Nordeste,34,326.11,4,3.28,4,4,2,58.28,2,1,2,6.7,2
64,Nordeste,83,648.2,3,23.63,6,2,2,32.87,1,3,2,6.0,4
33,Norte,57,759.72,4,0.69,8,10,2,32.56,3,3,3,4.5,5
58,Sul,108,416.01,3,14.85,6,14,1,30.09,1,0,7,7.2,1
43,Sul,27,234.65,6,33.37,2,14,4,35.25,2,1,11,2.8,3
63,Nordeste,29,640.32,1,3.91,5,9,3,46.03,1,0,0,3.7,5
67,Sudeste,57,241.88,5,15.57,11,2,1,37.43,3,2,9,1.6,5
18,Nordeste,90,706.8,5,21.35,8,4,2,29.36,2,0,4,5.6,2
53,Sudeste,34,233.13,1,2.43,6,11,5,30.7,3,1,8,2.1,7
47,Sudeste,26,637.17,1,55.2,11,12,2,55.77,2,3,11,5.6,7
19,Centro-Oeste,5,640.01,5,69.97,3,7,3,25.18,1,1,7,4.4,5
37,Sudeste,62,40.76,2,23.68,2,5,1,17.34,2,1,2,5.8,3
22,Nordeste,92,155.32,4,4.24,11,13,2,49.59,2,1,8,4.3,4
48,Norte,56,150.15,5,36.37,7,6,4,44.72,2,3,9,2.6,6
25,Sul,56,242.39,6,11.38,10,11,1,30.44,2,0,0,7.3,3
47,Nordeste,70,614.67,6,18.27,6,9,0,23.61,2,1,6,5.9,5
56,Norte,103,467.14,4,23.81,5,12,2,38.45,3,1,9,5.9,5
19,Sudeste,16,1054.32,6,6.6,9,2,2,32.39,3,5,2,4.1,7
30,Centro-Oeste,74,718.63,4,19.52,5,4,4,40.7,1,5,1,0.4,7
21,Nordeste,75,72.52,5,34.44,4,9,2,55.51,2,2,6,4.5,4
62,Sul,30,379.53,4,33.46,5,11,4,22.43,3,4,3,3.1,8
69,Sudeste,92,288.89,6,39.13,9,10,0,48.12,3,3,9,7.5,5
25,Centro-Oeste,82,872.53,6,74.23,2,14,2,25.57,2,2,3,1.0,4
56,Centro-Oeste,83,515.78,1,70.23,6,2,1,69.43,1,2,1,10.0,4
42,Sudeste,18,324.46,6,4.05,8,7,1,45.88,2,2,3,5.2,4
24,Nordeste,99,351.61,4,86.68,10,6,3,40.07,1,2,5,5.3,5
31,Sudeste,119,1064.25,2,15.38,1,2,3,26.74,2,0,9,5.5,3
46,Sudeste,22,337.65,1,21.17,3,5,3,21.26,3,1,1,6.8,3
62,Nordeste,54,672.01,6,21.47,1,4,1,27.38,2,0,1,9.8,2
38,Norte,48,475.43,2,45.52,2,6,2,32.2,2,0,4,5.8,2
54,Sudeste,34,348.1,1,26.64,5,4,4,31.63,2,2,10,1.6,6
66,Nordeste,21,796.83,4,9.4,5,4,3,43.38,3,2,6,1.8,7
50,Sudeste,103,223.1,6,12.28,10,14,1,54.77,2,4,10,1.6,7
58,Sudeste,47,221.05,2,17.25,3,5,2,48.59,2,1,5,6.9,4
42,Sul,43,234.72,6,29.23,6,8,4,60.15,3,1,3,1.8,5
63,Sul,39,421.33,4,51.01,6,12,1,46.14,3,2,11,4.9,4
31,Sudeste,40,393.2,5,6.54,3,14,2,33.2,3,0,9,3.7,2
26,Sul,107,644.58,4,3.56,3,10,1,33.05,1,2,1,8.1,7
32,Sudeste,102,153.6,2,11.98,3,10,1,37.16,3,1,9,5.6,8
24,Nordeste,94,503.92,4,42.32,9,14,2,42.51,2,0,4,7.0,1
19,Sudeste,57,602.2,2,6.77,10,13,2,51.97,3,2,11,2.6,4
48,Sudeste,11,269.88,4,38.62,6,5,3,41.05,1,1,1,4.3,4
24,Nordeste,76,597.96,6,59.9,3,13,2,16.93,1,4,11,3.6,10
58,Norte,112,608.02,3,32.03,5,6,0,49.61,3,4,1,9.1,10
28,Sudeste,76,776.45,2,1.99,4,11,4,33.41,3,0,7,8.3,1
30,Sudeste,45,139.62,4,5.5,7,8,1,60.85,1,7,1,0.0,10
30,Centro-Oeste,26,861.48,5,14.41,9,7,1,21.31,3,1,5,5.9,3
43,Nordeste,64,128.31,4,31.98,4,4,2,34.1,3,3,1,5.0,7
60,Norte,86,261.8,3,21.93,7,11,2,58.37,2,2,8,5.9,5
67,Sudeste,32,411.16,4,7.72,2,2,2,41.54,2,2,10,1.5,5
25,Sudeste,62,326.42,6,2.51,3,2,0,25.13,3,2,9,5.3,3
31,Nordeste,62,179.36,3,5.58,10,5,0,11.8,1,0,2,8.8,0
62,Norte,106,258.11,3,39.98,9,3,2,49.29,2,2,1,7.3,4
19,Norte,92,923.27,2,13.42,3,4,2,58.04,1,4,6,0.0,6
59,Centro-Oeste,26,245.56,6,21.38,6,5,2,36.76,3,2,9,4.3,4
32,Nordeste,29,715.62,5,13.69,5,6,3,27.87,3,1,8,2.3,3
41,Sudeste,104,24.0,6,85.49,10,5,2,29.58,3,0,9,4.0,4
51,Sul,40,304.38,1,14.74,6,12,4,9.06,2,1,1,2.5,5
21,Nordeste,51,1317.9,3,71.03,5,3,5,57.79,1,1,2,3.9,4
35,Centro-Oeste,92,211.04,1,30.35,8,3,1,25.04,3,3,8,0.2,5
42,Norte,64,225.87,4,12.11,9,4,1,21.53,3,0,1,6.3,3
64,Centro-Oeste,75,125.8,1,5.47,4,4,2,48.35,3,6,7,0.2,8
41,Sudeste,62,596.03,6,11.82,3,8,3,30.86,1,1,3,5.0,4
23,Sudeste,24,562.41,2,5.44,5,3,0,29.47,1,1,9,7.6,2
51,Norte,112,169.79,2,6.01,10,4,2,18.33,2,2,7,4.0,5
68,Norte,53,1250.18,3,2.74,2,14,5,61.85,1,2,4,0.5,4
55,Sudeste,70,474.88,6,36.63,5,12,4,55.7,2,1,0,2.0,3
20,Sul,106,594.58,2,33.9,11,2,3,15.49,2,2,7,4.1,4
36,Norte,35,341.14,5,25.02,5,11,3,29.53,1,1,7,5.0,5
64,Nordeste,96,841.75,6,73.2,4,13,2,20.65,2,1,0,3.6,4
63,Centro-Oeste,56,243.47,2,38.99,7,13,2,45.27,1,1,5,2.4,4
53,Centro-Oeste,39,604.77,2,44.27,2,10,0,21.04,2,2,6,8.5,3
36,Nordeste,25,557.64,6,3.34,3,2,5,41.44,2,3,5,0.0,7
45,Norte,72,104.57,1,20.19,1,5,2,28.68,3,0,0,5.3,2
64,Sul,66,506.01,5,154.88,7,3,1,40.26,1,4,0,4.5,6
27,Sul,66,228.14,3,7.99,11,5,3,17.94,3,2,3,3.2,4
35,Nordeste,93,361.43,6,26.03,9,10,2,38.98,3,0,3,9.2,2
21,Sudeste,18,90.99,1,16.18,9,9,3,45.33,3,1,5,5.5,4
29,Norte,59,288.44,5,48.39,6,7,4,31.23,3,1,2,2.6,3
44,Norte,119,317.4,6,28.2,6,11,1,38.22,1,1,0,6.9,3
46,Sudeste,116,461.97,4,6.07,4,2,3,48.09,2,1,9,3.7,4
29,Sudeste,95,325.34,3,21.69,1,5,3,10.26,1,3,6,2.2,7
28,Sudeste,41,552.04,3,3.86,7,9,3,45.32,2,1,9,4.6,4
21,Centro-Oeste,42,87.23,6,12.36,9,7,2,34.49,3,1,5,3.0,4
63,Nordeste,68,80.5,1,1.34,7,10,1,18.04,2,1,9,6.0,2
41,Sul,106,1983.81,5,48.5,2,13,1,25.48,3,1,10,6.5,4
43,Centro-Oeste,75,869.54,4,21.59,8,2,3,57.59,3,0,11,2.8,2
45,Sul,105,323.22,2,17.67,10,6,4,27.26,3,2,8,2.2,4
64,Norte,13,105.79,3,6.31,2,7,3,32.38,2,3,7,0.8,5
21,Norte,51,181.12,4,22.57,3,14,0,37.45,2,2,9,4.1,6
53,Norte,25,504.75,4,27.33,11,7,2,32.18,2,4,10,0.0,9
32,Centro-Oeste,31,208.36,4,15.1,5,4,0,45.32,2,1,10,6.4,1
39,Norte,2,203.93,4,9.11,6,2,1,50.47,2,0,9,4.3,3
66,Sul,2,554.46,5,21.54,1,7,1,41.21,1,2,3,8.1,4
41,Sul,78,780.75,2,67.15,7,2,3,64.47,2,0,4,5.2,3
41,Sudeste,5,853.88,1,35.43,2,7,1,31.06,2,3,4,8.1,7
54,Norte,75,617.46,3,24.83,7,13,3,22.99,2,2,2,4.8,5
22,Sul,103,264.51,2,9.21,7,9,0,55.29,1,3,5,6.3,3
23,Norte,79,395.21,6,74.49,1,4,2,24.55,3,0,5,5.9,3
66,Nordeste,108,479.82,1,7.02,5,12,0,15.18,2,2,10,8.4,3
27,Centro-Oeste,113,894.62,6,36.6,8,11,4,38.24,1,1,0,5.4,4
20,Nordeste,95,418.82,1,17.33,7,2,2,47.46,3,3,3,5.8,5
55,Sudeste,119,913.63,3,16.42,1,8,2,28.01,1,2,9,3.4,7
51,Nordeste,32,1522.94,3,24.33,9,13,2,40.8,1,2,5,3.6,5
23,Norte,76,459.81,2,35.71,8,2,1,17.47,2,0,7,8.8,3
27,Sul,2,487.38,2,5.31,2,2,1,44.65,2,2,0,6.4,3
33,Centro-Oeste,32,404.07,2,2.57,1,5,4,61.21,2,1,2,5.0,5
46,Sudeste,87,232.25,2,72.81,9,13,0,60.63,2,2,0,9.6,5
20,Sudeste,115,273.11,4,29.58,2,14,0,44.43,1,1,4,8.0,2
28,Centro-Oeste,85,1137.22,1,79.88,11,3,0,24.07,2,3,3,3.8,5
54,Sul,65,254.25,6,38.4,3,2,2,42.91,2,0,6,7.3,2
21,Sudeste,44,1292.9,6,10.26,7,4,1,27.56,2,2,9,6.2,4
66,Sul,96,392.41,2,59.32,4,4,2,41.41,2,2,7,4.5,4
21,Sudeste,54,376.64,5,36.35,6,11,2,39.4,2,1,9,3.6,5
41,Sul,99,351.47,6,22.99,3,10,0,37.16,1,3,7,5.1,6
45,Norte,40,351.48,2,32.49,5,14,0,29.2,2,3,7,5.8,4
52,Sudeste,97,612.64,4,42.0,2,4,1,37.52,1,1,5,5.4,3
55,Nordeste,93,101.09,6,20.13,1,12,3,33.4,3,2,4,3.8,7
67,Sudeste,117,496.5,5,36.04,9,2,2,26.77,1,0,8,8.8,1
41,Sul,74,260.98,2,69.67,9,14,1,17.57,3,3,8,4.9,6
39,Centro-Oeste,95,515.24,2,7.15,9,12,1,23.25,1,1,11,4.2,3
43,Centro-Oeste,35,215.37,3,19.99,11,7,2,33.18,1,3,1,5.5,5
35,Sul,22,321.82,3,30.58,5,9,3,38.71,3,0,5,4.7,4
20,Norte,117,811.98,6,45.07,2,2,2,36.62,1,0,5,5.2,5
63,Nordeste,25,453.51,5,2.91,10,13,2,32.46,1,0,5,3.5,4
28,Sudeste,22,465.21,4,0.23,8,11,6,70.59,2,1,5,3.2,5
26,Sudeste,21,809.27,6,4.35,6,14,1,60.27,1,3,7,5.5,7
50,Sul,106,889.87,3,10.21,7,8,0,53.27,1,2,6,8.5,4
43,Sudeste,73,438.94,2,102.66,5,7,2,4.34,3,0,6,2.6,2
53,Sul,84,842.15,2,9.32,11,13,3,45.62,2,3,7,3.5,5
21,Sul,69,282.06,1,15.93,9,9,4,32.41,2,0,11,3.5,2
69,Sul,62,911.99,3,3.77,11,6,1,34.6,1,2,4,3.9,5
19,Centro-Oeste,10,722.59,1,13.43,1,12,3,21.72,2,2,2,5.2,5
25,Sudeste,28,189.76,3,39.8,4,2,2,27.94,2,1,5,5.6,3
24,Centro-Oeste,64,262.51,2,10.43,3,6,4,43.68,3,2,4,0.4,4
53,Sul,109,192.62,1,3.3,8,4,2,41.42,3,1,7,3.3,4
51,Sul,54,610.5,2,6.92,9,9,5,47.49,2,1,4,3.0,3
57,Sul,77,466.75,3,1.87,2,12,2,46.1,3,4,3,3.6,8
36,Sudeste,8,592.31,2,53.73,2,11,4,49.56,1,1,8,0.6,5
46,Centro-Oeste,40,95.2,3,65.45,7,13,2,48.59,1,1,11,2.7,5
56,Sudeste,45,501.66,6,27.84,3,14,2,57.91,2,2,6,4.9,4
23,Nordeste,83,158.09,3,12.76,11,4,2,20.42,2,2,5,1.8,6
27,Nordeste,59,1372.36,3,49.19,6,2,4,39.96,3,1,11,4.0,4
58,Nordeste,23,119.67,5,14.85,3,12,2,49.21,2,4,5,3.1,7
59,Nordeste,80,79.93,2,129.11,6,2,4,27.59,1,1,1,1.1,3
22,Sul,2,1417.73,6,93.25,9,5,2,22.51,3,1,8,3.4,4
41,Centro-Oeste,87,145.53,2,20.66,3,7,0,67.84,2,1,2,5.6,2
58,Norte,11,47.07,1,50.24,3,7,2,32.58,1,1,11,4.4,4
39,Norte,61,317.11,1,6.86,11,6,4,32.21,1,4,11,0.0,6
43,Nordeste,6,638.11,4,16.38,9,8,3,41.36,2,2,11,3.3,4
68,Centro-Oeste,30,122.91,4,29.2,8,2,2,44.45,3,2,11,0.5,4
54,Sudeste,69,214.21,5,9.15,4,4,4,47.49,2,2,7,2.3,7
62,Sudeste,75,312.27,2,41.73,11,8,1,45.84,2,4,1,5.1,7
46,Nordeste,118,362.35,5,37.91,10,11,2,41.31,2,0,7,5.4,3
53,Nordeste,69,791.28,6,31.81,11,13,1,31.15,1,1,9,6.6,2
37,Sudeste,112,314.71,2,12.11,7,5,2,41.56,1,1,1,6.0,4
35,Norte,48,61.87,2,41.19,11,9,0,50.35,1,1,9,5.8,2
57,Norte,87,932.07,5,3.24,5,7,3,39.47,2,2,9,3.3,4
62,Sul,96,228.39,5,101.98,3,6,0,34.7,1,0,9,10.0,0
58,Norte,113,272.71,1,29.73,2,6,3,58.5,2,2,2,5.1,4
32,Sudeste,71,199.41,1,12.09,11,5,3,21.15,2,0,2,3.8,8
32,Nordeste,13,268.19,3,13.61,4,6,2,36.91,2,4,6,3.2,6
41,Sudeste,82,1273.41,3,0.27,4,2,5,17.28,2,0,2,2.7,3
46,Sudeste,10,321.49,1,96.07,7,9,2,51.48,1,3,4,2.7,5
34,Sul,87,394.66,2,26.15,11,7,4,31.48,1,0,11,0.5,4
66,Norte,88,527.69,6,115.35,2,11,2,52.71,1,1,2,6.9,6
64,Norte,107,290.94,6,7.76,5,4,3,42.48,1,1,1,2.5,4
42,Sudeste,57,427.33,3,19.31,9,3,1,47.92,1,1,1,6.1,3
33,Sul,68,481.86,6,14.18,11,5,1,43.06,1,1,7,5.5,4
67,Sudeste,86,480.97,4,4.51,8,13,0,11.72,2,2,3,5.2,3
34,Centro-Oeste,119,508.03,4,28.57,1,7,2,44.75,3,1,11,4.5,3
64,Centro-Oeste,7,59.81,4,64.05,3,9,1,34.68,2,3,5,0.6,5
64,Norte,116,213.38,3,0.32,3,10,3,58.7,1,1,9,2.2,5
38,Sudeste,109,303.79,3,1.84,9,8,2,33.76,3,4,4,2.6,7
61,Norte,72,193.27,4,64.11,10,7,4,57.26,2,1,1,0.7,4
65,Centro-Oeste,111,202.92,6,59.14,1,11,3,22.38,3,2,1,4.9,6
44,Centro-Oeste,39,70.87,6,16.05,6,4,3,22.09,1,1,11,1.5,5
22,Sudeste,51,240.49,1,14.86,9,13,3,29.46,2,0,8,3.4,5
39,Sul,95,789.52,1,2.17,3,12,4,43.12,3,0,11,3.8,3
50,Norte,17,366.89,2,59.58,4,8,0,46.5,3,1,6,9.4,1
57,Sudeste,19,384.43,5,1.58,2,10,3,41.19,2,2,10,1.2,7
19,Centro-Oeste,48,143.79,2,35.31,4,2,4,43.31,1,3,0,4.1,7
52,Norte,108,405.33,3,19.48,8,13,3,42.27,2,1,8,2.7,4
60,Nordeste,8,170.39,3,23.19,8,6,2,40.78,3,2,0,5.5,6
36,Norte,92,343.2,4,42.07,1,14,2,62.34,1,0,3,4.4,5
57,Sul,118,392.74,5,41.08,2,3,3,55.88,3,1,2,0.0,5
44,Sudeste,99,787.5,4,3.77,8,2,2,39.53,1,2,9,4.1,6
57,Sudeste,111,265.48,5,12.86,2,2,4,38.92,3,0,10,2.0,4
53,Sul,82,382.09,2,71.83,9,6,4,45.79,2,2,11,1.1,6
56,Norte,27,771.14,2,1.27,10,4,1,24.83,1,1,6,6.4,3
19,Norte,117,425.6,1,22.71,7,9,1,24.34,2,0,10,4.3,4
58,Centro-Oeste,33,1171.74,2,0.47,6,5,1,45.97,2,2,5,2.3,5
35,Norte,107,27.57,1,44.05,11,14,1,26.09,2,0,3,2.8,2
63,Nordeste,5,236.62,6,1.56,3,6,1,38.04,2,2,2,2.8,6
40,Sul,95,273.36,1,40.02,11,6,2,20.87,3,1,3,6.0,2
43,Centro-Oeste,88,161.48,6,78.41,8,13,4,49.84,1,1,0,6.5,3
28,Sudeste,92,981.97,1,0.95,10,10,2,49.78,2,1,0,7.5,3
65,Sul,70,150.48,4,54.59,5,12,0,50.12,1,1,2,9.8,2
18,Sudeste,84,402.31,6,2.49,5,14,2,32.59,3,2,4,10.0,4
53,Sul,25,1378.39,6,33.66,4,2,1,29.72,3,1,7,7.9,5
67,Sudeste,111,92.17,3,28.32,2,9,2,28.15,3,1,8,7.7,2
37,Sudeste,53,268.01,5,9.27,6,4,3,46.55,1,1,3,3.8,3
